@relation web_shells

@attribute file_size		    REAL
@attribute IoC      		    REAL
@attribute entropy  		    REAL
@attribute nasty_sig_count      REAL
@attribute sup_nasty_sig_count  REAL
@attribute eval_uses      		REAL
@attribute compression_ratio  	REAL
@attribute longest_word_len  	REAL
@attribute class	            {0, 1}

@data
130394,0.02532967969,5.842189744,27,0,3,0.3192018038,386,1
9478,0.07750551123,5.727010808,11,0,0,0.305971724,62,1
20980,0.01472061739,6.219787539,3,0,0,0.6621067684,79,1
759,0.0470519118,5.093125306,0,0,0,0.6851119895,107,1
2800,0.03925636707,5.571982562,2,0,0,0.4121428571,64,1
742,0.04691336469,5.078308401,0,0,0,0.6886792453,114,1
779,0.03939530939,5.219555394,0,0,0,0.6970474968,82,1
234,0.02630130956,5.450630482,0,0,0,0.8376068376,49,1
749,0.04299493799,5.142401602,0,0,0,0.6809078772,118,1
52388,0.09766915658,5.48592642,51,0,0,0.1838398106,416,1
150555,0.02896888361,5.785083332,65,0,2,0.2840822291,422,1
81299,0.02753846787,5.785294143,41,0,0,0.2627953603,8867,1
668,0.03638150984,5.292403074,0,0,0,0.7200598802,100,1
779,0.04097600576,5.190095685,0,0,0,0.6854942234,83,1
769,0.03898799848,5.215259634,0,0,0,0.6931079324,91,1
685,0.03551030862,5.312504788,0,0,0,0.7138686131,92,1
749,0.04147062393,5.214767316,0,0,0,0.696929239,114,1
752,0.04362977024,5.146222747,0,0,0,0.6914893617,102,1
1340,0.03640498033,5.095150119,8,0,0,0.4253731343,63,1
762,0.03982534378,5.206487681,0,0,0,0.6916010499,85,1
31801,0.03792030392,5.855049565,24,0,0,0.3186377787,106,1
50779,0.0293925567,5.500043925,17,0,1,0.2813761594,156,1
328,0.05418811069,5.320069125,1,0,0,0.6707317073,57,1
66807,0.03105843014,5.637467014,23,0,3,0.280344874,784,1
33796,0.03683257566,5.457857702,1,0,0,0.1903183809,118,1
33190,0.07532227864,5.423325846,60,0,0,0.2006025911,61,1
520,0.02831628872,5.374346463,3,0,0,0.6480769231,51,1
752,0.04386704252,5.1564333,0,0,0,0.6994680851,101,1
111606,0.02235558427,5.916469036,64,0,1,0.3049298425,5034,1
668,0.03651168428,5.277884223,0,0,0,0.7110778443,101,1
752,0.04200427798,5.151734139,0,0,0,0.6901595745,25,1
688,0.03842964016,5.265502073,0,0,0,0.710755814,79,1
32,0.01008064516,4.6875,0,0,0,1.25,23,1
10010,0.05786029337,5.454889777,4,0,0,0.2822177822,91,1
1264,0.02535028113,5.744099532,0,0,0,0.5735759494,61,1
695,0.03625733419,5.296722049,0,0,0,0.7194244604,80,1
749,0.03899673718,5.227629894,0,0,0,0.6955941255,114,1
189911,0.03569482213,5.76713703,110,0,3,0.2892460152,11579,1
752,0.0387816245,5.249916293,0,0,0,0.7021276596,104,1
762,0.04007022118,5.237280474,0,0,0,0.7034120735,89,1
772,0.03888026451,5.258766294,0,0,0,0.6968911917,84,1
3865,0.03432768461,5.536605998,1,0,0,0.3836998706,85,1
